PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 2:00,11/1/2016 3:00,912
Unknown,CW:AlarmMonitorUsage,11/1/2016 2:00,11/1/2016 3:00,1
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 2:00,11/1/2016 3:00,181016
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 3:00,11/1/2016 4:00,3
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 3:00,11/1/2016 4:00,12002
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 3:00,11/1/2016 4:00,180696
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 3:00,11/1/2016 4:00,1
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 3:00,11/1/2016 4:00,1170192
RunInstances,USW2-C3DataTransfer-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,1660
EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 3:00,11/1/2016 4:00,2655
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 3:00,11/1/2016 4:00,304
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,180912
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 3:00,11/1/2016 4:00,25769803776
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,1170080
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,25158
Unknown,CW:AlarmMonitorUsage,11/1/2016 3:00,11/1/2016 4:00,1
RunInstances,USW2-C3DataTransfer-In-Bytes,11/1/2016 3:00,11/1/2016 4:00,1900
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,14880
RunInstances,USW2-CloudFront-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,2160
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 3:00,11/1/2016 4:00,3
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 3:00,11/1/2016 4:00,0
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 3:00,11/1/2016 4:00,988
Unknown,USW2-CW:AlarmMonitorUsage,11/1/2016 4:00,11/1/2016 5:00,3
Unknown,CW:AlarmMonitorUsage,11/1/2016 4:00,11/1/2016 5:00,1
LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 4:00,11/1/2016 5:00,178976
RunInstances,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 4:00,11/1/2016 5:00,180748
LoadBalancing,USW2-DataTransfer-Out-Bytes,11/1/2016 4:00,11/1/2016 5:00,14800
LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,11/1/2016 4:00,11/1/2016 5:00,1160168
CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,11/1/2016 4:00,11/1/2016 5:00,25769803776
PublicIP-In,USW2-USE1-AWS-In-Bytes,11/1/2016 4:00,11/1/2016 5:00,228
RunInstances,USW2-DataTransfer-ELB-Out-Bytes,11/1/2016 4:00,11/1/2016 5:00,1172297
RunInstances,USW2-DataTransfer-In-Bytes,11/1/2016 4:00,11/1/2016 5:00,848
RunInstances,USW2-BoxUsage:t2.micro,11/1/2016 4:00,11/1/2016 5:00,3
LoadBalancing,USW2-LoadBalancerUsage,11/1/2016 4:00,11/1/2016 5:00,1
RunInstances,USW2-DataTransfer-Out-Bytes,11/1/2016 4:00,11/1/2016 5:00,5672
LoadBalancing,USW2-DataTransfer-In-Bytes,11/1/2016 4:00,11/1/2016 5:00,80
EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,11/1/2016 4:00,11/1/2016 5:00,0
PublicIP-Out,USW2-USE1-AWS-Out-Bytes,11/1/2016 4:00,11/1/2016 5:00,912
